gene	family	description
ABCF2	ABC	"ATP-binding cassette, sub-family F (GCN20), member 2"
ABCF3	ABC	"ATP-binding cassette, sub-family F (GCN20), member 3"
ABCG1	ABC	"ATP-binding cassette, sub-family G (WHITE), member 1"
ABCG4	ABC	"ATP-binding cassette, sub-family G (WHITE), member 4"
ABCG5	ABC	"ATP-binding cassette, sub-family G (WHITE), member 5 (sterolin 1)"
ABCG8	ABC	"ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)"
CFTR	ABC	"cystic fibrosis transmembrane conductance regulator, ATP-binding cassette (sub-family C, member 7)"
TAP1	ABC	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
TAP2	ABC	"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
ABCB1	"ABC, CD"	"ATP-binding cassette, sub-family B (MDR/TAP), member 1"
ABCG2	"ABC, CD"	"ATP-binding cassette, sub-family G (WHITE), member 2"
ABHD1	ABHD	abhydrolase domain containing 1
ABHD2	ABHD	abhydrolase domain containing 2
ABHD3	ABHD	abhydrolase domain containing 3
ABHD4	ABHD	abhydrolase domain containing 4
ABHD5	ABHD	abhydrolase domain containing 5
ABHD6	ABHD	abhydrolase domain containing 6
ABHD7	ABHD	abhydrolase domain containing 7
ABHD8	ABHD	abhydrolase domain containing 8
ABHD9	ABHD	abhydrolase domain containing 9
ABHD10	ABHD	abhydrolase domain containing 10
ABHD11	ABHD	abhydrolase domain containing 11
ABHD12	ABHD	abhydrolase domain containing 12
ABHD13	ABHD	abhydrolase domain containing 13
ABHD14A	ABHD	abhydrolase domain containing 14A
ABHD14B	ABHD	abhydrolase domain containing 14B
ACOT1	ACOT	acyl-CoA thioesterase 1
ACOT2	ACOT	acyl-CoA thioesterase 2
ACOT4	ACOT	acyl-CoA thioesterase 4
ACOT7	ACOT	acyl-CoA thioesterase 7
ACOT8	ACOT	acyl-CoA thioesterase 8
ACOT9	ACOT	acyl-CoA thioesterase 9
ACOT11	ACOT	acyl-CoA thioesterase 11
ACOT12	ACOT	acyl-CoA thioesterase 12
ACSBG1	ACS	acyl-CoA synthetase bubblegum family member 1
ACSBG2	ACS	acyl-CoA synthetase bubblegum family member 2
ACSL1	ACS	acyl-CoA synthetase long-chain family member 1
ACSL3	ACS	acyl-CoA synthetase long-chain family member 3
ACSL4	ACS	acyl-CoA synthetase long-chain family member 4
ACSL5	ACS	acyl-CoA synthetase long-chain family member 5
ACSL6	ACS	acyl-CoA synthetase long-chain family member 6
ACSM1	ACS	acyl-CoA synthetase medium-chain family member 1
ACSM2	ACS	acyl-CoA synthetase medium-chain family member 2
ACSM3	ACS	acyl-CoA synthetase medium-chain family member 3
ACSS1	ACS	acyl-CoA synthetase short-chain family member 1
ACSS2	ACS	acyl-CoA synthetase short-chain family member 2
SLC27A1	ACS	"solute carrier family 27 (fatty acid transporter), member 1"
SLC27A2	ACS	"solute carrier family 27 (fatty acid transporter), member 2"
SLC27A3	ACS	"solute carrier family 27 (fatty acid transporter), member 3"
SLC27A4	ACS	"solute carrier family 27 (fatty acid transporter), member 4"
SLC27A5	ACS	"solute carrier family 27 (fatty acid transporter), member 5"
SLC27A6	ACS	"solute carrier family 27 (fatty acid transporter), member 6"
ADAM1	ADAM	ADAM metallopeptidase domain 1 (fertilin alpha) pseudogene
ADAM2	ADAM	ADAM metallopeptidase domain 2 (fertilin beta)
ADAM3A	ADAM	ADAM metallopeptidase domain 3a (cyritestin 1)
ADAM3B	ADAM	ADAM metallopeptidase domain 3b (cyritestin 2)
ADAM6	ADAM	ADAM metallopeptidase domain 6
ADAM7	ADAM	ADAM metallopeptidase domain 7
ADAM9	ADAM	ADAM metallopeptidase domain 9 (meltrin gamma)
ADAM11	ADAM	ADAM metallopeptidase domain 11
ADAM12	ADAM	ADAM metallopeptidase domain 12 (meltrin alpha)
ADAM15	ADAM	ADAM metallopeptidase domain 15 (metargidin)
ADAM18	ADAM	ADAM metallopeptidase domain 18
ADAM19	ADAM	ADAM metallopeptidase domain 19 (meltrin beta)
ADAM20	ADAM	ADAM metallopeptidase domain 20
ADAM21	ADAM	ADAM metallopeptidase domain 21
ADAM22	ADAM	ADAM metallopeptidase domain 22
ADAM23	ADAM	ADAM metallopeptidase domain 23
ADAM28	ADAM	ADAM metallopeptidase domain 28
ADAM29	ADAM	ADAM metallopeptidase domain 29
ADAM30	ADAM	ADAM metallopeptidase domain 30
ADAM32	ADAM	ADAM metallopeptidase domain 32
ADAM33	ADAM	ADAM metallopeptidase domain 33
ADAM8	"ADAM, CD"	ADAM metallopeptidase domain 8
ADAM10	"ADAM, CD"	ADAM metallopeptidase domain 10
ADAM17	"ADAM, CD"	"ADAM metallopeptidase domain 17 (tumor necrosis factor, alpha, converting enzyme)"
ADAMTS1	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 1"
ADAMTS2	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 2"
ADAMTS3	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 3"
ADAMTS4	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 4"
ADAMTS5	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 5 (aggrecanase-2)"
ADAMTS6	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 6"
ADAMTS7	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 7"
ADAMTS8	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 8"
ADAMTS9	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 9"
ADAMTS10	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 10"
ADAMTS12	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 12"
ADAMTS13	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 13"
ADAMTS14	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 14"
ADAMTS15	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 15"
ADAMTS16	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 16"
ADAMTS17	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
ADAMTS18	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 18"
ADAMTS19	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 19"
ADAMTS20	ADAMTS	"ADAM metallopeptidase with thrombospondin type 1 motif, 20"
ADH1A	ADH	"alcohol dehydrogenase 1A (class I), alpha polypeptide"
ADH1B	ADH	"alcohol dehydrogenase IB (class I), beta polypeptide"
ADH1C	ADH	"alcohol dehydrogenase 1C (class I), gamma polypeptide"
ADH4	ADH	"alcohol dehydrogenase 4 (class II), pi polypeptide"
ADH5	ADH	"alcohol dehydrogenase 5 (class III), chi polypeptide"
ADH5P1	ADH	"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 1"
ADH5P2	ADH	"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2"
ADH5P3	ADH	"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 3"
ADH5P4	ADH	"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4"
ADH6	ADH	alcohol dehydrogenase 6 (class V)
ADH7	ADH	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
ADHFE1	ADH	"alcohol dehydrogenase, iron containing, 1"
AKAP1	AKAP	A kinase (PRKA) anchor protein 1
AKAP2	AKAP	A kinase (PRKA) anchor protein 2
AKAP3	AKAP	A kinase (PRKA) anchor protein 3
AKAP4	AKAP	A kinase (PRKA) anchor protein 4
AKAP5	AKAP	A kinase (PRKA) anchor protein 5
AKAP6	AKAP	A kinase (PRKA) anchor protein 6
AKAP7	AKAP	A kinase (PRKA) anchor protein 7
AKAP8	AKAP	A kinase (PRKA) anchor protein 8
AKAP9	AKAP	A kinase (PRKA) anchor protein (yotiao) 9
AKAP10	AKAP	A kinase (PRKA) anchor protein 10
AKAP11	AKAP	A kinase (PRKA) anchor protein 11
AKAP12	AKAP	A kinase (PRKA) anchor protein (gravin) 12
AKAP13	AKAP	A kinase (PRKA) anchor protein 13
AKAP14	AKAP	A kinase (PRKA) anchor protein 14
MAP2	AKAP	microtubule-associated protein 2
VIL2	AKAP	villin 2 (ezrin)
AKR1A1	AKR	"aldo-keto reductase family 1, member A1 (aldehyde reductase)"
AKR1B1	AKR	"aldo-keto reductase family 1, member B1 (aldose reductase)"
AKR1B10	AKR	"aldo-keto reductase family 1, member B10 (aldose reductase)"
AKR1C1	AKR	"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)"
AKR1C2	AKR	"aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)"
AKR1C3	AKR	"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)"
AKR1C4	AKR	"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)"
AKR1D1	AKR	"aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)"
AKR7A2	AKR	"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"
AKR7A3	AKR	"aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)"
ALDH1A1	ALDH	"aldehyde dehydrogenase 1 family, member A1"
ALDH1A2	ALDH	"aldehyde dehydrogenase 1 family, member A2"
ALDH1A3	ALDH	"aldehyde dehydrogenase 1 family, member A3"
ALDH1B1	ALDH	"aldehyde dehydrogenase 1 family, member B1"
ALDH1L1	ALDH	"aldehyde dehydrogenase 1 family, member L1"
ALDH1L2	ALDH	"aldehyde dehydrogenase 1 family, member L2"
ALDH2	ALDH	aldehyde dehydrogenase 2 family (mitochondrial)
ALDH3A1	ALDH	"aldehyde dehydrogenase 3 family, memberA1"
ALDH3A2	ALDH	"aldehyde dehydrogenase 3 family, member A2"
ALDH3B1	ALDH	"aldehyde dehydrogenase 3 family, member B1"
ALDH3B2	ALDH	"aldehyde dehydrogenase 3 family, member B2"
ALDH4A1	ALDH	"aldehyde dehydrogenase 4 family, member A1"
ALDH5A1	ALDH	"aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)"
ALDH6A1	ALDH	"aldehyde dehydrogenase 6 family, member A1"
ALDH7A1	ALDH	"aldehyde dehydrogenase 7 family, member A1"
ALDH7A1P1	ALDH	"aldehyde dehydrogenase 7 family, member A1 pseudogene 1"
ALDH8A1	ALDH	"aldehyde dehydrogenase 8 family, member A1"
ALDH9A1	ALDH	"aldehyde dehydrogenase 9 family, member A1"
ALDH16A1	ALDH	"aldehyde dehydrogenase 16 family, member A1"
ALDH18A1	ALDH	"aldehyde dehydrogenase 18 family, member A1"
ALKBH1	ALKB	"alkB, alkylation repair homolog 1 (E. coli)"
ALKBH2	ALKB	"alkB, alkylation repair homolog 2 (E. coli)"
ALKBH3	ALKB	"alkB, alkylation repair homolog 3 (E. coli)"
ALKBH4	ALKB	"alkB, alkylation repair homolog 4 (E. coli)"
ALKBH5	ALKB	"alkB, alkylation repair homolog 5 (E. coli)"
ALKBH6	ALKB	"alkB, alkylation repair homolog 6 (E. coli)"
ALKBH7	ALKB	"alkB, alkylation repair homolog 7 (E. coli)"
ALKBH8	ALKB	"alkB, alkylation repair homolog 8 (E. coli)"
ALOX5	ALOX	arachidonate 5-lipoxygenase
ALOX12	ALOX	arachidonate 12-lipoxygenase
ALOX12B	ALOX	"arachidonate 12-lipoxygenase, 12R type"
ALOX12P1	ALOX	arachidonate 12-lipoxygenase pseudogene 1
ALOX12P2	ALOX	arachidonate 12-lipoxygenase pseudogene 2
ALOX15	ALOX	arachidonate 15-lipoxygenase
ALOX15B	ALOX	"arachidonate 15-lipoxygenase, type B"
ALOX15P	ALOX	arachidonate 15-lipoxygenase pseudogene
ALOXE3	ALOX	arachidonate lipoxygenase 3
ANXA1	ANXA	annexin A1
ANXA2	ANXA	annexin A2
ANXA2P1	ANXA	annexin A2 pseudogene 1
ANXA2P2	ANXA	annexin A2 pseudogene 2
ANXA2P3	ANXA	annexin A2 pseudogene 3
ANXA3	ANXA	annexin A3
ANXA4	ANXA	annexin A4
ANXA5	ANXA	annexin A5
ANXA6	ANXA	annexin A6
ANXA7	ANXA	annexin A7
ANXA8	ANXA	annexin A8
ANXA8L1	ANXA	annexin A8-like 1
ANXA8L2	ANXA	annexin A8-like 2
ANXA9	ANXA	annexin A9
ANXA10	ANXA	annexin A10
ANXA11	ANXA	annexin A11
ANXA13	ANXA	annexin A13
AQP2	AQP	aquaporin 2 (collecting duct)
AQP4	AQP	aquaporin 4
AQP5	AQP	aquaporin 5
AQP6	AQP	"aquaporin 6, kidney specific"
AQP7	AQP	aquaporin 7
AQP7P1	AQP	aquaporin 7 pseudogene 1
AQP7P2	AQP	aquaporin 7 pseudogene 2
AQP7P3	AQP	aquaporin 7 pseudogene 3
AQP7P4	AQP	aquaporin 7 pseudogene 4
AQP8	AQP	aquaporin 8
AQP9	AQP	aquaporin 9
AQP10	AQP	aquaporin 10
AQP11	AQP	aquaporin 11
AQP12A	AQP	aquaporin 12A
AQP12B	AQP	aquaporin 12B
AQP1	"AQP, bloodgroup"	aquaporin 1 (Colton blood group)
AQP3	"AQP, bloodgroup"	aquaporin 3 (Gill blood group)
ARF1	ARF	ADP-ribosylation factor 1
ARF2	ARF	ADP-ribosylation factor 2
ARF3	ARF	ADP-ribosylation factor 3
ARF4	ARF	ADP-ribosylation factor 4
ARF5	ARF	ADP-ribosylation factor 5
ARF6	ARF	ADP-ribosylation factor 6
ARHGEF1	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 1
ARHGEF2	ARHGEF	rho/rac guanine nucleotide exchange factor (GEF) 2
ARHGEF3	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 3
ARHGEF4	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 4
ARHGEF5	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 5
ARHGEF6	ARHGEF	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
ARHGEF7	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 7
ARHGEF9	ARHGEF	Cdc42 guanine nucleotide exchange factor (GEF) 9
ARHGEF10	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 10
ARHGEF11	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 11
ARHGEF12	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 12
ARHGEF15	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 15
ARHGEF16	ARHGEF	Rho guanine exchange factor (GEF) 16
ARHGEF17	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 17
ARHGEF18	ARHGEF	rho/rac guanine nucleotide exchange factor (GEF) 18
ARHGEF19	ARHGEF	Rho guanine nucleotide exchange factor (GEF) 19
MCF2L2	ARHGEF	MCF.2 cell line derived transforming sequence-like 2
BIRC4	BIRC	baculoviral IAP repeat-containing 4
BIRC5	BIRC	baculoviral IAP repeat-containing 5 (survivin)
BIRC8	BIRC	baculoviral IAP repeat-containing 8
BIRC1	"BIRC, NLR"	baculoviral IAP repeat-containing 1
BIRC2	"BIRC, RNF"	baculoviral IAP repeat-containing 2
BIRC3	"BIRC, RNF"	baculoviral IAP repeat-containing 3
BIRC7	"BIRC, RNF"	baculoviral IAP repeat-containing 7 (livin)
BIRC6	"BIRC, UBE2"	baculoviral IAP repeat-containing 6 (apollon)
ABO	bloodgroup	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
ACHE	bloodgroup	acetylcholinesterase (Yt blood group)
B3GALNT1	bloodgroup	"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)"
ERMAP	bloodgroup	erythroblast membrane-associated protein (Scianna blood group)
FUT1	bloodgroup	"fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase, H blood group)"
GCNT2	bloodgroup	"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"
P1	bloodgroup	P one antigen (P blood group)
SLC14A1	bloodgroup	"solute carrier family 14 (urea transporter), member 1 (Kidd blood group)"
XG	bloodgroup	Xg blood group
XK	bloodgroup	X-linked Kx blood group (McLeod syndrome)
C4A	"bloodgroup, complement"	complement component 4A (Rodgers blood group)
C4B	"bloodgroup, complement"	complement component 4B (Childo blood group)
CA1	CA	carbonic anhydrase I
CA2	CA	carbonic anhydrase II
CA3	CA	"carbonic anhydrase III, muscle specific"
CA4	CA	carbonic anhydrase IV
CA5A	CA	"carbonic anhydrase VA, mitochondrial"
CA5B	CA	"carbonic anhydrase VB, mitochondrial"
CA5BL	CA	carbonic anhydrase VB-like
CA5P	CA	carbonic anhydrase V pseudogene
CA6	CA	carbonic anhydrase VI
CA7	CA	carbonic anhydrase VII
CA8	CA	carbonic anhydrase VIII
CA9	CA	carbonic anhydrase IX
CA10	CA	carbonic anhydrase X
CA11	CA	carbonic anhydrase XI
CA12	CA	carbonic anhydrase XII
CA13	CA	carbonic anhydrase XIII
CA14	CA	carbonic anhydrase XIV
CACNA1A	CACN	"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
CACNA1B	CACN	"calcium channel, voltage-dependent, L type, alpha 1B subunit"
CACNA1C	CACN	"calcium channel, voltage-dependent, L type, alpha 1C subunit"
CACNA1D	CACN	"calcium channel, voltage-dependent, L type, alpha 1D subunit"
CACNA1E	CACN	"calcium channel, voltage-dependent, alpha 1E subunit"
CACNA1F	CACN	"calcium channel, voltage-dependent, alpha 1F subunit"
CACNA1G	CACN	"calcium channel, voltage-dependent, alpha 1G subunit"
CACNA1H	CACN	"calcium channel, voltage-dependent, alpha 1H subunit"
CACNA1I	CACN	"calcium channel, voltage-dependent, alpha 1I subunit"
CACNA1S	CACN	"calcium channel, voltage-dependent, L type, alpha 1S subunit"
CACNA2D1	CACN	"calcium channel, voltage-dependent, alpha 2/delta subunit 1"
CACNA2D2	CACN	"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
CACNA2D3	CACN	"calcium channel, voltage-dependent, alpha 2/delta 3 subunit"
CACNA2D4	CACN	"calcium channel, voltage-dependent, alpha 2/delta subunit 4"
CACNB1	CACN	"calcium channel, voltage-dependent, beta 1 subunit"
CACNB2	CACN	"calcium channel, voltage-dependent, beta 2 subunit"
CACNB3	CACN	"calcium channel, voltage-dependent, beta 3 subunit"
CACNB4	CACN	"calcium channel, voltage-dependent, beta 4 subunit"
CACNG1	CACN	"calcium channel, voltage-dependent, gamma subunit 1"
CACNG2	CACN	"calcium channel, voltage-dependent, gamma subunit 2"
CACNG3	CACN	"calcium channel, voltage-dependent, gamma subunit 3"
CACNG4	CACN	"calcium channel, voltage-dependent, gamma subunit 4"
CACNG5	CACN	"calcium channel, voltage-dependent, gamma subunit 5"
CACNG7	CACN	"calcium channel, voltage-dependent, gamma subunit 7"
CACNG8	CACN	"calcium channel, voltage-dependent, gamma subunit 8"
CASP1	CASP	"caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase)"
CASP2	CASP	"caspase 2, apoptosis-related cysteine peptidase (neural precursor cell expressed, developmentally down-regulated 2)"
CASP3	CASP	"caspase 3, apoptosis-related cysteine peptidase"
CASP4	CASP	"caspase 4, apoptosis-related cysteine peptidase"
CASP5	CASP	"caspase 5, apoptosis-related cysteine peptidase"
CASP6	CASP	"caspase 6, apoptosis-related cysteine peptidase"
CASP7	CASP	"caspase 7, apoptosis-related cysteine peptidase"
CASP8	CASP	"caspase 8, apoptosis-related cysteine peptidase"
CASP9	CASP	"caspase 9, apoptosis-related cysteine peptidase"
CASP10	CASP	"caspase 10, apoptosis-related cysteine peptidase"
CASP12	CASP	caspase 12
CCL1	CCL	chemokine (C-C motif) ligand 1
CCL2	CCL	chemokine (C-C motif) ligand 2
CCL3	CCL	chemokine (C-C motif) ligand 3
CCL3L1	CCL	chemokine (C-C motif) ligand 3-like 1
CCL3L2	CCL	chemokine (C-C motif) ligand 3-like 2
CCL3L3	CCL	chemokine (C-C motif) ligand 3-like 3
CCL4	CCL	chemokine (C-C motif) ligand 4
CCL4L1	CCL	chemokine (C-C motif) ligand 4-like 1
CCL4L2	CCL	chemokine (C-C motif) ligand 4-like 2
CCL5	CCL	chemokine (C-C motif) ligand 5
CCL7	CCL	chemokine (C-C motif) ligand 7
CCL8	CCL	chemokine (C-C motif) ligand 8
CCL11	CCL	chemokine (C-C motif) ligand 11
CCL13	CCL	chemokine (C-C motif) ligand 13
CCL14	CCL	chemokine (C-C motif) ligand 14
CCL15	CCL	chemokine (C-C motif) ligand 15
CCL16	CCL	chemokine (C-C motif) ligand 16
CCL17	CCL	chemokine (C-C motif) ligand 17
CCL18	CCL	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)
CCL19	CCL	chemokine (C-C motif) ligand 19
CCL20	CCL	chemokine (C-C motif) ligand 20
CCL21	CCL	chemokine (C-C motif) ligand 21
CCL22	CCL	chemokine (C-C motif) ligand 22
CCL23	CCL	chemokine (C-C motif) ligand 23
CCL24	CCL	chemokine (C-C motif) ligand 24
CCL25	CCL	chemokine (C-C motif) ligand 25
CCL26	CCL	chemokine (C-C motif) ligand 26
CCL27	CCL	chemokine (C-C motif) ligand 27
CCL28	CCL	chemokine (C-C motif) ligand 28
CCR4	CCR	chemokine (C-C motif) receptor 4
CCRL1	CCR	chemokine (C-C motif) receptor-like 1
CCRL1P	CCR	chemokine (C-C motif) receptor-like 1 pseudogene
CCRL2	CCR	chemokine (C-C motif) receptor-like 2
CCR1	"CCR, CD"	chemokine (C-C motif) receptor 1
CCR2	"CCR, CD"	chemokine (C-C motif) receptor 2
CCR3	"CCR, CD"	chemokine (C-C motif) receptor 3
CCR5	"CCR, CD"	chemokine (C-C motif) receptor 5
CCR6	"CCR, CD"	chemokine (C-C motif) receptor 6
CCR7	"CCR, CD"	chemokine (C-C motif) receptor 7
CCR8	"CCR, CD"	chemokine (C-C motif) receptor 8
CCR9	"CCR, CD"	chemokine (C-C motif) receptor 9
ACE	CD	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
ALCAM	CD	activated leukocyte cell adhesion molecule
ALK	CD	anaplastic lymphoma kinase (Ki-1)
ANPEP	CD	"alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)"
ART1	CD	ADP-ribosyltransferase 1
ATP1B3	CD	"ATPase, Na+/K+ transporting, beta 3 polypeptide"
B3GAT1	CD	"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)"
BLR1	CD	"Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)"
BMPR1A	CD	"bone morphogenetic protein receptor, type IA"
BMPR1B	CD	"bone morphogenetic protein receptor, type IB"
BST1	CD	bone marrow stromal cell antigen 1
BST2	CD	bone marrow stromal cell antigen 2
BTLA	CD	B and T lymphocyte associated
BTN3A1	CD	"butyrophilin, subfamily 3, member A1"
CD1A	CD	CD1a molecule
CD1B	CD	CD1b molecule
CD1C	CD	CD1c molecule
CD1D	CD	CD1d molecule
CD1E	CD	CD1e molecule
CD2	CD	CD2 molecule
CD3D	CD	"CD3d molecule, delta (CD3-TCR complex)"
CD3E	CD	"CD3e molecule, epsilon (CD3-TCR complex)"
CD3G	CD	"CD3g molecule, gamma (CD3-TCR complex)"
CD3W	CD	"CD3-TCR complex, omega polypeptide"
CD4	CD	CD4 molecule
CD5	CD	CD5 molecule
CD6	CD	CD6 molecule
CD7	CD	CD7 molecule
CD8A	CD	CD8a molecule
CD8B	CD	CD8b molecule
CD9	CD	CD9 molecule
CD14	CD	CD14 molecule
CD19	CD	CD19 molecule
CD24	CD	CD24 molecule
CD28	CD	CD28 molecule
CD34	CD	CD34 molecule
CD36	CD	CD36 molecule (thrombospondin receptor)
CD37	CD	CD37 molecule
CD38	CD	CD38 molecule
CD47	CD	CD47 molecule
CD48	CD	CD48 molecule
CD52	CD	CD52 molecule
CD53	CD	CD53 molecule
CD58	CD	CD58 molecule
